date, pm25, pm10, o3, no2, so2, co,location
2023-10-03, 34, 15, 7, , , ,"public-relations department, bangkok"
2023-10-04, 36, 18, 14, , , ,"public-relations department, bangkok"
2023-10-05, 44, 11, 9, , , ,"public-relations department, bangkok"
2023-10-06, 32, 14, 9, , , ,"public-relations department, bangkok"
2023-10-07, 36, 13, 10, , , ,"public-relations department, bangkok"
2023-10-08, 32, 23, 17, , , ,"public-relations department, bangkok"
2023-10-09, 59, 23, 12, , , ,"public-relations department, bangkok"
2023-10-10, 61, 15, 9, , , ,"public-relations department, bangkok"
2023-10-11, 38, 21, 17, 32, , ,"public-relations department, bangkok"
2023-10-12, 45, 23, 18, 22, , ,"public-relations department, bangkok"
2023-10-13, 57, 17, 25, 22, , ,"public-relations department, bangkok"
2023-10-14, 44, 18, 22, 20, , ,"public-relations department, bangkok"
2023-10-15, 49, 25, 22, 24, , ,"public-relations department, bangkok"
2023-10-16, 59, 29, 25, 25, , ,"public-relations department, bangkok"
2023-10-17, 75, 43, 28, 27, , ,"public-relations department, bangkok"
2023-10-18, 92, 28, 14, 27, , ,"public-relations department, bangkok"
2023-10-19, 60, 41, 23, 29, , ,"public-relations department, bangkok"
2023-10-20, 81, 25, 14, , , ,"public-relations department, bangkok"
2023-10-21, 64, 20, 16, 17, , ,"public-relations department, bangkok"
2023-10-22, 41, 23, 26, 22, , ,"public-relations department, bangkok"
2023-10-23, 50, 35, 21, 27, , ,"public-relations department, bangkok"
2023-10-24, 69, 23, 20, 25, , ,"public-relations department, bangkok"
2023-10-25, 51, 20, 19, 19, , ,"public-relations department, bangkok"
2023-10-26, 42, 16, 17, 17, , ,"public-relations department, bangkok"
2023-10-27, 32, 26, 12, 25, , ,"public-relations department, bangkok"
2023-10-28, 55, 26, 17, 23, , ,"public-relations department, bangkok"
2023-10-29, 56, 23, 9, 17, , ,"public-relations department, bangkok"
2023-10-30, 43, 14, 14, 10, , ,"public-relations department, bangkok"
2023-10-31, 25, 27, 27, , , ,"public-relations department, bangkok"
2023-11-01, 53, 35, 30, , , ,"public-relations department, bangkok"
2023-11-02, 68, 41, 35, , , ,"public-relations department, bangkok"
2023-11-03, 79, 39, 16, 22, , ,"public-relations department, bangkok"
2023-11-04, 89, 27, 16, 22, , ,"public-relations department, bangkok"
2023-11-05, 52, 23, 17, 24, , ,"public-relations department, bangkok"
2023-11-06, 45, 19, 20, 24, , ,"public-relations department, bangkok"
2023-11-07, 33, 22, 22, 28, , ,"public-relations department, bangkok"
2023-11-08, 43, 22, 11, 22, , ,"public-relations department, bangkok"
2023-11-09, 45, 24, 12, 22, , ,"public-relations department, bangkok"
2023-11-10, 45, 26, 11, 20, , ,"public-relations department, bangkok"
2023-11-11, 47, 16, 11, 16, , ,"public-relations department, bangkok"
2023-11-12, 34, 22, 12, 19, , ,"public-relations department, bangkok"
2023-11-13, 42, 18, 14, 16, , ,"public-relations department, bangkok"
2023-11-14, 30, 19, 17, 21, , ,"public-relations department, bangkok"
2023-11-15, 34, 16, 16, , , ,"public-relations department, bangkok"
2023-11-16, 23, 22, 22, 27, , ,"public-relations department, bangkok"
2023-11-17, 33, 38, 23, 25, , ,"public-relations department, bangkok"
2023-11-18, 61, 40, 28, 23, , ,"public-relations department, bangkok"
2023-11-19, 69, 43, 27, 29, , ,"public-relations department, bangkok"
2023-11-20, 70, 27, 31, 31, , ,"public-relations department, bangkok"
2023-11-21, 61, 22, 29, 32, , ,"public-relations department, bangkok"
