date,min,max,median,q1,q3,stdev,count
2020-06-18T00:00:00.000Z,2.98,16.6,5.17,4.4,6.62,1.86,175
2020-06-19T00:00:00.000Z,4.17,19.82,6.1,5.25,6.69,1.522,209
2020-06-20T00:00:00.000Z,1.8,100.55,4.34,2.8,6.02,4.724,513
2020-06-21T00:00:00.000Z,1.87,13.68,4.83,4.23,5.69,1.468,405
2020-06-22T00:00:00.000Z,6,15.68,7.9,7.25,8.89,1.76,93
2020-06-23T00:00:00.000Z,3.6,15.45,5.09,4.72,5.95,2.189,195
2020-06-24T00:00:00.000Z,2.4,7.83,3.4,3.05,3.8,0.915,195
2020-06-25T00:00:00.000Z,1.6,13.2,3.52,2.36,4.17,1.429,181
2020-06-26T00:00:00.000Z,2.1,33.2,3.86,3.3,4.75,3.114,218
2020-06-27T00:00:00.000Z,1.25,29.07,2.77,2.25,3.62,2.15,382
2020-06-28T00:00:00.000Z,1.62,9.77,3.47,2.7,4.53,1.335,399
2020-06-29T00:00:00.000Z,2.22,5.4,3.63,2.89,4.3,0.776,164
2020-06-30T00:00:00.000Z,1.3,4.45,1.89,1.69,2.5,0.765,144
2020-07-01T00:00:00.000Z,2.85,5.8,3.91,3.55,4.34,0.615,136
2020-07-02T00:00:00.000Z,3.35,9.93,4.92,4.45,5.5,0.808,155
2020-07-03T00:00:00.000Z,3.7,11.4,5.62,4.9,6.28,1.583,143
2020-07-04T00:00:00.000Z,4.9,17.14,9.5,7.76,13.22,3.246,73
2020-07-05T00:00:00.000Z,1.8,15.98,2.4,2.15,3.24,1.664,152
2020-07-06T00:00:00.000Z,2.15,7.42,3.75,3.35,4.28,1.071,222
2020-07-07T00:00:00.000Z,2.65,7.33,3.87,3.52,4.34,0.763,133
2020-07-08T00:00:00.000Z,2.47,4.72,3.3,3.08,3.65,0.457,147
2020-07-09T00:00:00.000Z,1.8,7.1,2.98,2.54,4,1.343,154
2020-07-10T00:00:00.000Z,1.98,9.19,3.33,2.72,5.45,1.73,187
2020-07-11T00:00:00.000Z,1.5,12.93,3.25,2.58,5.32,1.897,285
2020-07-12T00:00:00.000Z,1.1,7.92,3.02,2.25,4.72,1.537,319
2020-07-13T00:00:00.000Z,1.17,39.29,2.92,1.9,4.09,4.738,143
2020-07-14T00:00:00.000Z,1.8,897.1,7.83,6.97,93.1,172.734,131
2020-07-15T00:00:00.000Z,1.7,6.8,3.86,2.9,4.62,1.105,150
2020-07-16T00:00:00.000Z,3.6,5.35,4.61,4.38,5.05,0.477,24
2020-07-17T00:00:00.000Z,2.87,6,3.79,3.42,4.19,0.619,192
2020-07-18T00:00:00.000Z,2.04,33.4,4.3,3.5,5.97,2.549,359
2020-07-19T00:00:00.000Z,2.85,14.7,4.01,3.45,5.22,1.658,146
2020-07-20T00:00:00.000Z,7.03,17.14,11.88,9.85,13.72,2.524,27
2020-07-21T00:00:00.000Z,6.5,17.64,9.22,8.13,12.07,2.892,64
2020-07-22T00:00:00.000Z,3.95,5.4,4.45,4.18,5.09,0.504,12
2020-07-23T00:00:00.000Z,3.77,8.77,4.9,4.65,5.4,1.024,91
2020-07-24T00:00:00.000Z,5.37,26.42,7.42,6.65,8.75,3.419,127
2020-07-25T00:00:00.000Z,2.58,19.48,5.25,4.15,9.07,3.939,81
2020-07-26T00:00:00.000Z,2.2,39.6,4.15,3.38,6.87,5.219,337
2020-07-27T00:00:00.000Z,1.2,4.95,2.2,1.9,3.11,0.911,184
2020-07-28T00:00:00.000Z,1.95,35.15,5.62,2.8,7.1,4.611,139
2020-07-29T00:00:00.000Z,1.9,7.65,4.09,2.74,4.8,1.164,105
2020-07-30T00:00:00.000Z,1.62,4.17,2.2,1.92,2.58,0.463,138
2020-07-31T00:00:00.000Z,1.14,13.13,1.67,1.46,2.13,1.219,133
2020-08-01T00:00:00.000Z,1.2,577.66,2.4,2,2.86,31.934,324
2020-08-02T00:00:00.000Z,0.72,999.9,1.55,1.27,1.95,76.376,209
2020-08-03T00:00:00.000Z,1.5,4.12,1.92,1.8,2.29,0.515,88
2020-08-04T00:00:00.000Z,1.82,7.75,3.8,2.44,6.09,1.825,156
2020-08-05T00:00:00.000Z,2,674.45,4.47,3.1,5.39,95.549,96
2020-08-06T00:00:00.000Z,1.27,510.8,1.98,1.75,2.29,43.442,146
2020-08-07T00:00:00.000Z,1.2,5.7,3.5,2.29,4.25,1.074,167
2020-08-08T00:00:00.000Z,1.75,23.65,5.7,4.16,6.47,2.401,341
2020-08-09T00:00:00.000Z,1.3,7.45,2.29,2,2.62,0.986,325
2020-08-10T00:00:00.000Z,1.9,5.53,3.4,3.08,3.7,0.567,167
2020-08-11T00:00:00.000Z,1.2,6.12,2.11,1.8,3.69,1.273,156
2020-08-12T00:00:00.000Z,1.75,17.35,3.84,3.1,4.95,1.512,296
2020-08-13T00:00:00.000Z,3.72,33.29,6.28,4.95,6.71,2.526,145
2020-08-14T00:00:00.000Z,3.7,8.48,5.6,4.66,7.27,1.378,188
2020-08-15T00:00:00.000Z,4.05,999.9,6.72,5.85,8.05,181.75,335
2020-08-16T00:00:00.000Z,4.45,999.9,6.97,5.72,10.02,214.943,435
2020-08-17T00:00:00.000Z,7.53,12.88,10.02,9.14,10.78,1.1,165
2020-08-18T00:00:00.000Z,5,11.53,9.48,6.33,10.13,1.951,163
2020-08-19T00:00:00.000Z,4.55,11.2,7.17,5.72,9.65,1.975,143
2020-08-20T00:00:00.000Z,8.69,13.48,11.48,10.82,11.95,0.9,166
2020-08-21T00:00:00.000Z,3.08,10.05,4.92,3.87,5.85,1.7,171
2020-08-22T00:00:00.000Z,3.55,9.85,6,5.3,6.72,1.167,347
2020-08-23T00:00:00.000Z,2.22,10.68,5.59,4.4,7.19,1.938,176
2020-08-24T00:00:00.000Z,5.33,11.12,7.5,6.6,8.3,1.27,139
2020-08-25T00:00:00.000Z,3.8,11.63,5,4.59,7.47,1.786,135
2020-08-26T00:00:00.000Z,3,6.05,4.2,3.57,5.05,0.777,129
2020-08-27T00:00:00.000Z,4.5,19.5,5.75,5.05,11.22,3.634,171
2020-08-28T00:00:00.000Z,4.28,8.98,5.95,5.28,7.6,1.226,154
2020-08-29T00:00:00.000Z,4.28,14.95,6.28,5.6,7.45,2.041,309
2020-08-30T00:00:00.000Z,7.37,869.6,11.65,10.49,13.06,59.8,205
2020-08-31T00:00:00.000Z,6.33,999.9,999.9,539.48,999.9,396.962,118
2020-09-01T00:00:00.000Z,8.5,23.7,11.67,10.68,13.6,2.538,74
2020-09-02T00:00:00.000Z,2.72,6.47,4.95,3.8,5.47,1.002,123
2020-09-03T00:00:00.000Z,3.1,8.35,4.5,3.9,6.15,1.296,158
2020-09-04T00:00:00.000Z,3.2,14.83,7.62,5.73,9.77,2.744,329
2020-09-05T00:00:00.000Z,2.17,8.63,4.58,3.65,5.9,1.471,231
2020-09-06T00:00:00.000Z,2.5,7.83,3.85,3.37,4.55,0.854,439
2020-09-07T00:00:00.000Z,1,9.3,2.35,1.9,3.35,1.463,325
2020-09-08T00:00:00.000Z,2.33,9.1,3.22,2.85,6.5,2.007,102
2020-09-09T00:00:00.000Z,2.83,11.48,5.08,4.12,6.95,1.832,115
2020-09-10T00:00:00.000Z,4.45,11.75,9.59,9.02,10.1,1.962,90
2020-09-11T00:00:00.000Z,1.47,8.48,3.55,1.9,5.55,2.005,110
2020-09-12T00:00:00.000Z,2,12.4,5.28,3.22,8.27,2.627,193
2020-09-13T00:00:00.000Z,1.47,13.15,2.91,2.24,4.83,2.438,332
2020-09-14T00:00:00.000Z,2.22,6.6,3.2,2.77,3.5,0.821,62
2020-09-15T00:00:00.000Z,2.42,7,4.42,3.6,6,1.245,63
2020-09-16T00:00:00.000Z,3.3,4.92,3.79,3.67,4.03,0.384,26
2020-09-17T00:00:00.000Z,1.02,6.83,2.56,1.6,3.45,1.242,34
2020-09-18T00:00:00.000Z,1.6,15.72,4.09,2.7,12.93,5.114,99
2020-09-19T00:00:00.000Z,1.55,11.8,2.54,2.1,3,0.916,218
2020-09-20T00:00:00.000Z,1.67,39.38,3.51,2.61,5,4.181,200
2020-09-21T00:00:00.000Z,4.62,11.08,8.09,7.49,10.46,1.609,56
2020-09-22T00:00:00.000Z,13.53,24.65,15.53,14.72,17.8,2.629,129
2020-09-23T00:00:00.000Z,2.37,27.1,3.7,3.05,5.65,6.916,123
2020-09-24T00:00:00.000Z,1.32,4.83,2.4,2.08,3.48,0.852,121
2020-09-25T00:00:00.000Z,2.5,4.05,3.12,2.87,3.4,0.348,95
2020-09-26T00:00:00.000Z,1.77,10.18,3.15,2.7,4.55,1.836,214
2020-09-27T00:00:00.000Z,1.05,13.62,2.7,2.2,5.67,2.714,207
2020-09-28T00:00:00.000Z,1.72,7.42,2.82,2.36,3.44,1.507,52
2020-09-29T00:00:00.000Z,2.37,3.1,2.75,2.6,2.92,0.221,7
2020-09-30T00:00:00.000Z,2.2,4.12,2.75,2.52,3.29,0.498,41
2020-10-01T00:00:00.000Z,2,5.9,4.2,3.67,4.67,0.972,59
2020-10-02T00:00:00.000Z,3.47,11.63,5.14,4.62,5.72,1.577,86
2020-10-03T00:00:00.000Z,1.17,17.77,9.19,4.62,10.8,4.272,223
2020-10-04T00:00:00.000Z,3.52,10.8,7.46,5.09,8.77,2.033,130
2020-10-05T00:00:00.000Z,4.34,33.85,21.57,10.95,31.13,9.716,73
2020-10-06T00:00:00.000Z,6.97,30.48,11.85,8.75,24.5,7.932,95
2020-10-07T00:00:00.000Z,10.7,19.77,13.93,12.07,15.23,2.067,92
2020-10-08T00:00:00.000Z,5.2,10.78,7.82,6.45,8.82,1.475,84
2020-10-09T00:00:00.000Z,2,9.68,3.98,3.5,5.6,1.398,135
2020-10-10T00:00:00.000Z,4.3,21.25,8.3,6.55,11.28,3.506,290
2020-10-11T00:00:00.000Z,9.23,32.72,16.64,13.46,20.65,4.361,261
2020-10-12T00:00:00.000Z,13.4,19.02,15.85,14.93,17.6,1.652,35
2020-10-13T00:00:00.000Z,12.23,39.63,16.45,14.31,19.29,4.358,217
2020-10-14T00:00:00.000Z,4.33,12.5,5.68,5.24,6.39,2.11,136
2020-10-15T00:00:00.000Z,6.75,12.98,10.38,9.14,11.58,1.629,124
2020-10-16T00:00:00.000Z,3.17,8.77,5.78,4.58,6.42,1.256,147
2020-10-17T00:00:00.000Z,1.65,9.1,3.59,3.08,4.05,1.01,372
2020-10-18T00:00:00.000Z,2.37,21.07,4.61,3.85,5.83,2.487,310
2020-10-19T00:00:00.000Z,3.25,107.67,4.34,4,5.73,8.276,157
2020-10-20T00:00:00.000Z,3.58,7.35,4.58,4.3,4.92,0.725,143
2020-10-21T00:00:00.000Z,6.55,12.6,8.65,7.77,10.38,1.51,144
2020-10-22T00:00:00.000Z,16.5,25.82,19.09,18.07,21.94,2.432,144
2020-10-23T00:00:00.000Z,15.88,28,20.5,18.29,22.24,2.624,173
2020-10-24T00:00:00.000Z,7.33,27.58,21.07,12.24,23.39,5.892,381
2020-10-25T00:00:00.000Z,10.53,35.04,19.98,13.42,25.9,6.821,325
2020-10-26T00:00:00.000Z,10.28,19.8,13.62,12.18,16.89,2.635,147
2020-10-27T00:00:00.000Z,13.2,17.07,14.54,14,16.14,1.226,22
2020-10-28T00:00:00.000Z,14.83,25.85,22.58,21.23,23.6,2.486,113
2020-10-29T00:00:00.000Z,3.83,9.43,6.4,5.5,7.35,1.228,213
2020-10-30T00:00:00.000Z,9.27,24.25,15.65,11.08,17.52,3.777,166
